trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:02:00,02:02:00,126S,24,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:03:30,02:03:30,127S,25,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:05:00,02:05:00,128S,26,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:06:00,02:06:00,129S,27,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:07:00,02:07:00,130S,28,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:08:00,02:08:00,131S,29,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:09:00,02:09:00,132S,30,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:10:30,02:10:30,133S,31,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:12:00,02:12:00,134S,32,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:14:00,02:14:00,135S,33,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:15:00,02:15:00,136S,34,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:16:00,02:19:00,137S,35,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:20:30,02:20:30,138S,36,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:22:00,02:22:00,139S,37,,0,0,
AFA19GEN-1037-Sunday-00_008600_1..S03R,02:24:00,02:24:00,142S,38,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,01:46:00,01:46:00,101S,1,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,01:47:30,01:47:30,103S,2,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,01:49:00,01:49:00,104S,3,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,01:50:30,01:50:30,106S,4,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,01:52:00,01:52:00,107S,5,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,01:53:00,01:53:00,108S,6,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,01:54:30,01:54:30,109S,7,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,01:56:00,01:56:00,110S,8,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,01:57:30,01:57:30,111S,9,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,01:59:30,01:59:30,112S,10,,1,1,
AFA19GEN-1037-Sunday-00_010600_1..S03R,02:01:00,02:01:00,113S,11,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,02:03:00,02:03:00,114S,12,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,02:04:30,02:04:30,115S,13,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,02:06:00,02:06:00,116S,14,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,02:08:30,02:08:30,117S,15,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,02:09:30,02:09:30,118S,16,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,02:10:30,02:10:30,119S,17,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,02:12:30,02:12:30,120S,18,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,02:14:30,02:14:30,121S,19,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,02:15:30,02:15:30,122S,20,,0,0,
AFA19GEN-1037-Sunday-00_010600_1..S03R,02:17:00,02:17:00,123S,21,,0,0,
